city_code,community_id,merchant_count,anchor_count,anchor_merchants
shanghai,88,47,3,0155192|0132686|0109077
shanghai,89,47,3,0022047|0022048|0028918
shanghai,90,46,3,0083948|0089221|0083950
shanghai,91,45,3,0022167|0022215|0132636
shanghai,92,45,3,0084672|0025176|0035669
shanghai,93,45,3,0089361|0019271|0019270
shanghai,94,45,3,0086224|0074532|0166255
shanghai,95,44,3,0001140|0001168|0001173
shanghai,96,44,3,0066184|0143097|0066153
shanghai,97,43,3,0035659|0147707|0161304
shanghai,98,40,3,0109026|0089152|0040522
shanghai,99,40,3,0079884|0165162|0165161
shanghai,100,39,3,0089255|0077144|0044140
shanghai,101,38,3,0001227|0001233|0001225
shanghai,102,38,3,0001440|0001402|0001437
shanghai,103,38,3,0020548|0020549|0049827
shanghai,104,38,3,0049251|0132675|0049271
shanghai,105,38,3,0136061|0136164|0136179
shanghai,106,37,3,0049070|0232166|0038096
shanghai,107,37,3,0016235|0016215|0016229
shanghai,108,37,3,0018188|0089523|0187236
shanghai,109,37,3,0021811|0021815|0021812
shanghai,110,36,3,0118416|0164207|0074998
shanghai,111,36,3,0035670|0103215|0089693
shanghai,112,36,3,0051205|0051256|0051208
shanghai,113,35,3,0209474|0187030|0209467
shanghai,114,35,3,0001516|0001517|0001510
shanghai,115,35,3,0068373|0102977|0016682
shanghai,116,35,3,0236761|0236764|0236760
shanghai,117,35,3,0146793|0070152|0035864
shanghai,118,34,3,0017044|0017013|0017035
shanghai,119,34,3,0024717|0024678|0024715
shanghai,120,33,3,0001780|0001791|0001786
shanghai,121,33,3,0067581|0067557|0067578
shanghai,122,33,3,0014826|0078931|0109245
shanghai,123,33,3,0223658|0223648|0223820
shanghai,124,32,3,0022937|0022944|0022945
shanghai,125,32,3,0022345|0022307|0021226
shanghai,126,31,3,0169405|0082315|0169404
shanghai,127,31,3,0022161|0022157|0153508
shanghai,128,30,3,0022464|0022472|0022396
shanghai,129,30,3,0147413|0014789|0147419
shanghai,130,30,3,0083474|0112419|0148219
shanghai,131,30,3,0128920|0132701|0019948
shanghai,132,30,3,0021014|0089187|0109525
shanghai,133,30,3,0035375|0035372|0035341
shanghai,134,30,3,0083569|0105128|0089368
shanghai,135,30,3,0101534|0101535|0101518
shanghai,136,29,3,0164789|0089459|0097859
shanghai,137,29,3,0103384|0103381|0132648
shanghai,138,29,3,0017406|0109522|0017418
shanghai,139,29,3,0128954|0150804|0096881
shanghai,140,28,3,0002285|0002301|0002279
shanghai,141,28,3,0022073|0119643|0016424
shanghai,142,28,3,0018646|0018619|0018647
shanghai,143,28,3,0109394|0089403|0237262
shanghai,144,28,3,0150721|0089151|0150729
shanghai,145,28,3,0051453|0051449|0051450
shanghai,146,27,3,0001349|0001350|0001339
shanghai,147,27,3,0024344|0024385|0024371
shanghai,148,27,3,0146757|0050305|0103407
shanghai,149,27,3,0067079|0067114|0067081
shanghai,150,26,3,0000438|0000431|0000450
shanghai,151,26,3,0063699|0089744|0063686
shanghai,152,26,3,0018821|0018841|0146717
shanghai,153,26,3,0028041|0028067|0028063
shanghai,154,26,3,0035668|0109566|0108715
shanghai,155,25,3,0001286|0001280|0001275
shanghai,156,25,3,0066675|0066660|0066682
shanghai,157,25,3,0089548|0082195|0094088
shanghai,158,25,3,0024330|0024331|0024340
shanghai,159,25,3,0050443|0050422|0157814
shanghai,160,24,3,0002634|0002636|0002620
shanghai,161,24,3,0127407|0127269|0132117
shanghai,162,24,3,0102960|0069541|0118992
shanghai,163,24,3,0089615|0018397|0147909
shanghai,164,24,3,0024480|0024523|0024526
shanghai,165,24,3,0025061|0089105|0025059
shanghai,166,24,3,0102578|0102562|0102582
shanghai,167,24,3,0063225|0120326|0108520
shanghai,168,24,3,0067817|0067789|0067820
shanghai,169,23,3,0002225|0002224|0002203
shanghai,170,23,3,0002396|0002395|0111411
shanghai,171,23,3,0067046|0012243|0067045
shanghai,172,23,3,0102047|0102061|0043188
shanghai,173,22,3,0000663|0000656|0000667
shanghai,174,22,3,0000707|0000708|0000683
shanghai,175,22,3,0016679|0125472|0103554
shanghai,176,22,3,0082404|0082408|0018213
shanghai,177,22,3,0089443|0075220|0096989
shanghai,178,22,3,0080448|0080468|0109190
shanghai,179,22,3,0067279|0067323|0067288
shanghai,180,21,3,0000264|0000273|0000304
shanghai,181,21,3,0084563|0231554|0175890
shanghai,182,21,3,0016592|0045138|0168997
shanghai,183,21,3,0054259|0019887|0019885
shanghai,184,21,3,0022970|0022961|0022991
shanghai,185,21,3,0024110|0109847|0024111
shanghai,186,21,3,0035638|0066407|0089114
shanghai,187,20,3,0201346|0021110|0044153
shanghai,188,20,3,0019374|0019378|0019363
shanghai,189,20,3,0018681|0054871|0018674
shanghai,190,20,3,0068150|0024920|0068149
shanghai,191,20,3,0032995|0033009|0032973
shanghai,192,20,3,0042718|0069839|0101931
shanghai,193,20,3,0115839|0115832|0115841
shanghai,194,19,3,0068207|0032063|0032065
shanghai,195,19,3,0019412|0049179|0049153
shanghai,196,19,3,0022761|0022760|0022751
shanghai,197,19,3,0193567|0051893|0051891
shanghai,198,19,3,0036176|0089029|0084685
shanghai,199,19,3,0155177|0155184|0155183
shanghai,200,19,3,0066982|0066975|0066966
shanghai,201,19,3,0115931|0115925|0115939
shanghai,202,19,3,0127322|0130891|0199964
shanghai,203,18,3,0019820|0145151|0132671
shanghai,204,18,3,0113345|0019868|0089106
shanghai,205,18,3,0023034|0164783|0023046
shanghai,206,18,3,0023577|0023580|0023566
shanghai,207,18,3,0029105|0029110|0029106
shanghai,208,18,3,0238127|0032388|0043929
shanghai,209,18,3,0109568|0037043|0064664
shanghai,210,18,3,0113309|0074475|0089396
shanghai,211,18,3,0187510|0049709|0049727
shanghai,212,18,3,0106812|0106841|0106853
shanghai,213,17,3,0000573|0000566|0000574
shanghai,214,17,3,0000868|0000871|0000836
shanghai,215,17,3,0001593|0001605|0001566
shanghai,216,17,3,0002138|0002171|0002168
shanghai,217,17,3,0029025|0029029|0029027
shanghai,218,17,3,0018190|0032088|0036563
shanghai,219,17,3,0082001|0082000|0170169
shanghai,220,17,3,0022563|0022561|0022522
shanghai,221,17,3,0023062|0023069|0023060
shanghai,222,17,3,0028009|0027976|0028012
shanghai,223,17,3,0031268|0031303|0031273
shanghai,224,17,3,0050956|0068953|0050946
shanghai,225,17,3,0050045|0109539|0050040
shanghai,226,17,3,0065185|0065217|0065190
shanghai,227,17,3,0065578|0065551|0065561
shanghai,228,17,3,0070170|0094074|0094060
shanghai,229,17,3,0079348|0089103|0079341
shanghai,230,17,3,0101200|0101196|0101181
shanghai,231,17,3,0130001|0182731|0131103
shanghai,232,16,3,0089526|0089143|0166642
shanghai,233,16,3,0017363|0066002|0065974
shanghai,234,16,3,0171351|0048969|0048955
shanghai,235,16,3,0022619|0022617|0022566
shanghai,236,16,3,0023680|0023679|0023667
shanghai,237,16,3,0024289|0024274|0024256
shanghai,238,16,3,0025349|0025345|0025308
shanghai,239,16,3,0164332|0038039|0085527
shanghai,240,16,3,0083990|0083994|0083993
shanghai,241,16,3,0216240|0216243|0216234
shanghai,242,15,3,0000948|0000951|0000941
shanghai,243,15,3,0003021|0002999|0003010
shanghai,244,15,3,0111889|0111911|0069737
shanghai,245,15,3,0019890|0100312|0092042
shanghai,246,15,3,0024955|0024964|0024958
shanghai,247,15,3,0052142|0096770|0157369
shanghai,248,15,3,0067971|0067984|0067960
shanghai,249,15,3,0102626|0102623|0102625
shanghai,250,15,3,0115892|0115917|0115891
shanghai,251,15,3,0216189|0216197|0216185
shanghai,252,14,3,0001718|0001738|0001737
shanghai,253,14,3,0003287|0003301|0003260
shanghai,254,14,3,0074708|0091987|0074763
shanghai,255,14,3,0080119|0069589|0080103
shanghai,256,14,3,0128902|0019737|0147940
shanghai,257,14,3,0082582|0188809|0188810
shanghai,258,14,3,0026160|0026125|0026137
shanghai,259,14,3,0028484|0028488|0028485
shanghai,260,14,3,0028985|0028981|0028956
shanghai,261,14,3,0029621|0029586|0158114
shanghai,262,14,3,0153925|0138588|0048503
shanghai,263,13,3,0000487|0000491|0000465
shanghai,264,13,3,0001691|0001687|0001688
shanghai,265,13,3,0002351|0002349|0002326
shanghai,266,13,3,0003248|0003246|0003224
shanghai,267,13,3,0003420|0003422|0003412
shanghai,268,13,3,0018201|0019947|0147952
shanghai,269,13,3,0014308|0089225|0063082
shanghai,270,13,3,0055504|0016246|0016244
shanghai,271,13,3,0037676|0201704|0055840
shanghai,272,13,3,0169283|0169288|0169286
shanghai,273,13,3,0064717|0064714|0064730
shanghai,274,13,3,0096225|0169161|0096224
shanghai,275,13,3,0102533|0102552|0102512
shanghai,276,13,3,0216495|0216497|0216505
shanghai,277,12,3,0078958|0048512|0078969
shanghai,278,12,3,0035643|0157288|0017924
shanghai,279,12,3,0018539|0154435|0018414
shanghai,280,12,3,0113261|0019873|0109532
shanghai,281,12,3,0068269|0019732|0148041
shanghai,282,12,3,0024063|0024010|0024040
shanghai,283,12,3,0024443|0024470|0109876
shanghai,284,12,3,0133193|0089303|0089258
shanghai,285,12,3,0101053|0143155|0101060
shanghai,286,12,3,0049508|0040377|0049482
shanghai,287,12,3,0049109|0049108|0068436
shanghai,288,12,3,0082057|0082056|0082054
shanghai,289,12,3,0163828|0163830|0163826
shanghai,290,11,3,0001397|0001394|0001401
shanghai,291,11,3,0003057|0003062|0003067
shanghai,292,11,3,0083504|0089512|0050201
shanghai,293,11,3,0084701|0051823|0051818
shanghai,294,11,3,0018462|0020072|0020073
shanghai,295,11,3,0018735|0145283|0089209
shanghai,296,11,3,0019300|0071333|0019285
shanghai,297,11,3,0125461|0152370|0019687
shanghai,298,11,3,0156942|0089519|0089136
